hotel,town,price(USD$),score,review,reviews count
Angel - Kings Cross - St Pancras - Islington Apartment for 4 person,"Islington, London",267,10,Exceptional,3
ME London by Melia,"Westminster Borough, London",358,8.5,Very Good,"1,551"
London Studios Very Close to Central Line Underground Shepherds Bush and Westfield Newly Refurbished,"Hammersmith and Fulham, London",297,8.1,Very Good,658
Massive Flat Near Greenwich Park( with office),"Greenwich, London",131,9.1,Wonderful,47
The Dilly,"Westminster Borough, London",280,8.0,Very Good,"5,244"
"Radisson Blu Edwardian Bloomsbury Street Hotel, London","Camden, London",298,8.4,Very Good,"4,620"
NYX Hotel London Holborn by Leonardo Hotels,"Camden, London",277,8.4,Very Good,"8,719"
Park Plaza Westminster Bridge London,"Lambeth, London",301,8.3,Very Good,"22,465"
Komo Pod Hotel,"Hackney, London",44,8.9,Excellent,27
One Hundred Shoreditch,"Hackney, London",289,8.7,Excellent,"5,120"
Rubens At The Palace,"Westminster Borough, London",316,8.6,Excellent,"4,298"
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London",416,8.1,Very Good,"4,682"
"Radisson Blu Edwardian Vanderbilt Hotel, London","Kensington and Chelsea, London",191,7.7,Good,"3,495"
"11 Cadogan Gardens, The Apartments and The Chelsea Townhouse by Iconic Luxury Hotels","Kensington and Chelsea, London",283,8.5,Very Good,489
Victory House Leicester Square,"Westminster Borough, London",234,8.0,Very Good,"3,243"
"Signature London, The J Marylebone","Westminster Borough, London",214,8.0,Very Good,575
"The Royal Horseguards Hotel, London","Westminster Borough, London",252,8.2,Very Good,"3,440"
The Londoner,"Westminster Borough, London",565,9.0,Wonderful,"4,378"
"Radisson Blu Edwardian New Providence Wharf Hotel, London","Tower Hamlets, London",202,8.8,Excellent,"6,955"
The Stafford London,"Westminster Borough, London",513,9.0,Wonderful,"1,312"
The Chesterfield Mayfair,"Westminster Borough, London",357,8.9,Excellent,"3,173"
41,"Westminster Borough, London",468,9.7,Exceptional,"1,070"
The Beaufort,"Kensington and Chelsea, London",225,7.4,Good,"1,929"
Nobu Hotel London Portman Square,"Westminster Borough, London",553,8.6,Excellent,"1,564"
Park Grand London Kensington,"Kensington and Chelsea, London",187,7.9,Good,"9,677"
Strand Palace Hotel,"Westminster Borough, London",268,8.2,Very Good,"13,716"
